Reader Query ,source_doc,"Information Retrieved from 
source",relatednesses_score,LLM Response 
What are some healthy eating tips for people with diabetes? ,"BE HEALTHY

Healthy Eating

1

Healthy Eating When You Have Diabetes

Diet is an important part of diabetes management. Eating well not only helps with your diabetes control, but also with weight, blood pressure, cholesterol levels and general health.

Healthy eating is recommended for everyone, including individuals with diabetes. All individuals can enjoy the same healthy meals.

Read on for a general guide on how you can make healthy food choices and have a balanced diet. For nutritional advice personalised to your condition and needs, do speak to a healthcare professional such as a dietitian.

2

What is a healthy diet?

3

Macronutrients that our body needs in larger amounts for energy. There are 3 main types: carbohydrates, protein and fat. Of these, carbohydrates have the greatest impact on blood sugar.

Macronutrients that our body needs in larger amounts for energy. There are 3 main types: carbohydrates, protein and fat. Of these, carbohydrates have the greatest impact on blood sugar.

Micronutrients that our body needs in smaller quantities are very important for many body functions, such as bone health and our immune system. There are 2 main types: vitamins and minerals.

Micronutrients that our body needs in smaller quantities are very important for many body functions, such as bone health and our immune system. There are 2 main types: vitamins and minerals.

While protein and fat may not have a direct impact on blood sugar levels, eating too much protein and fat can lead to weight gain which will increase insulin resistance and make diabetes control more difficult.

The type and amount of fat consumed is important. Mono- and poly- unsaturated fats are better for you. We should limit our intake of saturated and trans fats (e.g., found in fried chicken and baked products) to reduce our risk of cardiovascular disease.",https://ch-api.healthhub.sg/api/public/content/70e56617c5b140139bb5cb37db3cdef0?v=a7dd48f7&_gl=1*11zfakr*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.894188722,"Some healthy eating tips for people with diabetes include:
1. Focusing on a balanced diet that includes whole grains, lean proteins, fruits, and vegetables.
2. Limiting the intake of saturated and trans fats to reduce the risk of cardiovascular disease.
3. Choosing healthier cooking methods like steaming, baking, boiling, or grilling.
4. Using natural seasonings instead of salt and opting for healthier cooking oils like sunflower, olive, or canola.
5. Planning meals that incorporate vegetables as the main dish and making them 50% of your plate.
6. Opting for healthier ingredients and whole grains over refined grains.
7. Removing visible fat from meat before cooking.
8. Consulting with a healthcare professional, such as a dietitian, for personalized nutritional advice tailored to your condition and needs."
,"If your schedule does not allow you to take regular meals, do discuss with your healthcare team on a diabetic medication regimen that is more suited for your lifestyle.

If you are planning to substantially reduce the amount of carbohydrates in your meals, you may be at risk of hypoglycaemia if you are on insulin or certain oral medications (sulfonylureas such as glipizide, gliclazide, glimepiride, tolbutamide). Do discuss with your doctor on how your medication can be adjusted to match any change in your diet. 22

If you are planning to substantially reduce the amount of carbohydrates in your meals, you may be at risk of hypoglycaemia if you are on insulin or certain oral medications (sulfonylureas such as glipizide, gliclazide, glimepiride, tolbutamide). Do discuss with your doctor on how your medication can be adjusted to match any change in your diet. 22

You can whip up delicious and healthy meals even if you have diabetes. Some tips on how you can do this:

Use healthier cooking methods (e.g., steaming, baking, boiling, grilling).

Use healthier ingredients

Choose wholegrains instead of refined grains. For example, replace white rice with brown rice

Choose lean meat and remove all visible fat before cooking

Reduce salt, instead use natural seasoning (e.g., herbs and spices) Use condiments and sauces in moderation

Plan meals that incorporate vegetables as the main dish (together with fruits, they should make up 50% of your plate), rather than meat or carbohydrates as part of a balanced diet.

Plan meals that incorporate vegetables as the main dish (together with fruits, they should make up 50% of your plate), rather than meat or carbohydrates as part of a balanced diet.

Healthy recipes you can try.

23

How can I cook healthy and yummy meals?

Stir fry

Boil or steam

Grill or bake

Reduce salt, instead use natural seasonings e.g., herbs and spices

Choose healthier cooking oil (e.g., sunflower, olive or canola)

Remove all visible fat before cooking

24",https://ch-api.healthhub.sg/api/public/content/70e56617c5b140139bb5cb37db3cdef0?v=a7dd48f7&_gl=1*11zfakr*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.885587784,
,"Eating a healthy balanced diet [e.g., using My Healthy Plate’s Quarter, Quarter, Half concept (filling a quarter of the plate with wholegrains, quarter with good sources of protein, and half with fruit and vegetables)]

Eating a healthy balanced diet [e.g., using My Healthy Plate’s Quarter, Quarter, Half concept (filling a quarter of the plate with wholegrains, quarter with good sources of protein, and half with fruit and vegetables)]

Maintaining a healthy weight [body mass index (BMI) ranging from 18.5 to 22.9 kg/m2] • Exercising regularly (aiming for 150 minutes of moderate-intensity activity per week or 20 minutes of vigorous-intensity activity 3 or more days a week)

Maintaining a healthy weight [body mass index (BMI) ranging from 18.5 to 22.9 kg/m2] • Exercising regularly (aiming for 150 minutes of moderate-intensity activity per week or 20 minutes of vigorous-intensity activity 3 or more days a week)

Limiting alcohol (no more than 1 drink per day for females, and 2 drinks per day for males) • Quitting smoking • Improving mental well-being and managing stress. Examples of patient resources and programs include Guide to Healthy Eating for Managing Diabetes Mellitus, Let’s B.E.A.T. Diabetes or 3 Be’s to Beat Diabetes (National Diabetes Reference Materials) (see Useful resources on page 12).

Limiting alcohol (no more than 1 drink per day for females, and 2 drinks per day for males) • Quitting smoking • Improving mental well-being and managing stress. Examples of patient resources and programs include Guide to Healthy Eating for Managing Diabetes Mellitus, Let’s B.E.A.T. Diabetes or 3 Be’s to Beat Diabetes (National Diabetes Reference Materials) (see Useful resources on page 12).

Insulin and T2DM",https://www.ace-hta.gov.sg/docs/default-source/acgs/acg-t2dm-personalising-medications.pdf,0.878500879,
How can my outpatient bill for diabetes be covered?,"Then, if available, further reduce your bill by tapping on employee benefits or private medical insurance

You can then use your MediSave through the Chronic Disease Management Programme (CDMP) to reduce out-of-pocket costs

After deduction from the sources above, you may still need to cover the remaining bill with out-of- pocket payment

15

1. Government Subsidies

Available at public specialist outpatient clinics (SOCs), polyclinics and CHAS GPs Refer to government subsidy pages for more information

2. Employee benefits/Private Medical Insurance (PMI)

3. MediSave/Chronic Disease Management Programme (CDMP) Refer to MediSave pages for more information

3. MediSave/Chronic Disease Management Programme (CDMP) Refer to MediSave pages for more information

4. Out-of-pocket payment (OOP)

This is determined after deducting government subsidies, available employee benefits and private medical insurance, and the amount that the patient wishes to deduct from MediSave

16

Government subsidies at subsidised specialist outpatient clinics (SOCs) and polyclinics Households with income

Subsidy at subsidised SOCs^

Subsidy at polyclinics

Household Monthly Income Per Person

Subsidised services

Subsidised medications

Subsidised medications for adults*

Additional PG / MG subsidy

$1,200 and below

$1,201 to $2,000

70%

60%

75%

75%

PG: Additional 50% off the remaining bill

Above $2,000/ Unassessed

50%

50%

50%

MG: Additional 25% off the remaining bill

Households with no income

Subsidy at subsidised SOCs^

Subsidy at polyclinics

Annual Value# (AV) of Home

Subsidised services

Subsidised medications

Subsidised medications for adults*

Additional PG / MG subsidy

$13,000 and below

$13,001 to $21,000

70%

60%

75%

75%

PG: Additional 50% off the remaining bill

Above $21,000/ Unassessed

50%

50%

50%

MG: Additional 25% off the remaining bill

17

Government subsidies at subsidised specialist outpatient clinics (SOCs) and polyclinics",https://ch-api.healthhub.sg/api/public/content/57c95e67895840888240d7322f00117c?v=f00ca9b4&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.834607278,"Based on the information provided in the articles, your outpatient bill for diabetes can be covered through various means:

1. **Government Subsidies**: You can offset your bill with government subsidies available at public specialist outpatient clinics (SOCs), polyclinics, and through schemes like the Community Health Assist Scheme (CHAS), Pioneer Generation (PG), and Merdeka Generation (MG) outpatient subsidies.

2. **Employee Benefits/Private Medical Insurance (PMI)**: If applicable, you can utilize your employee benefits or private medical insurance to cover a portion of your outpatient bill.

3. **MediSave/Chronic Disease Management Programme (CDMP)**: You can tap into your MediSave account through the Chronic Disease Management Programme (CDMP) to reduce your out-of-pocket costs. Patients aged 60 and above can use their MediSave for the 15% co-payment under CDMP, with a limit of up to $300 per patient per year.

4. **Out-of-Pocket Payment (OOP)**: After deducting government subsidies, employee benefits, and MediSave contributions, you may still need to cover the remaining bill with out-of-pocket payment.

By leveraging these financial resources and support systems, you can effectively manage and cover your outpatient bills related to diabetes."
,"Remember that the person with diabetes is responsible for managing it, not you. Living with diabetes can be difficult. By having the positive support of family and friends, they are better able to make the best possible choices about their diabetes.

Sometimes less can be more. Know when to give your loved ones the space to reflect on their own, and make mistakes. Be sensitive if they are experiencing any diabetes distress or burnout from managing it. Learn what the signs are, and gently encourage them to seek help instead of blaming or scolding them for poor management.

9

CAREGIVER STRESS AND TIPS

10

Am I experiencing caregiver stress? Common signs and symptoms

Finding no meaning in caregiving

Loss of appetite

Insomnia

Chronic fatigue

Feeling hopeless and helpless

Withdrawal from family and friends

11

How can I manage caregiver stress?

Practise self-care

Get enough rest

Positive self-talk

Physical activities and other hobbies

Meditation, yoga, taichi, or qigong

Seek support

Talk to supportive friends and family

Join support groups

Make use of respite care

Seek professional help

12

Join support groups

Positive self-talk

Hospital support groups

Tell yourself daily that you are helping the person in your care even if you do not do everything well; you are doing everything with love and you are improving

Community support groups

Online communities

Make use of respite care

Seek professional help

Take a rest first so you are more able to care for others

Take a rest first so you are more able to care for others

From a therapist, counsellor or spiritual advisor

From a therapist, counsellor or spiritual advisor

13

FINANCE

14

How your outpatient bill may be covered

Government subsidies

Offset your bill with government subsidies first E.g., Government subsidies at public specialist outpatient clinics and polyclinics, Community Health Assist Scheme (CHAS), Pioneer Generation (PG) and Merdeka Generation (MG) outpatient subsidies",https://ch-api.healthhub.sg/api/public/content/57c95e67895840888240d7322f00117c?v=f00ca9b4&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.827329655,
,"Patients can tap on accounts of immediate family members (i.e., spouse, parents and children) Patients who are SC/PR can tap on grandchildren’s and sibling’s MediSave

For patients ≥ 60 years old • Can be used for the 15% co-payment under CDMP

For patients ≥ 60 years old • Can be used for the 15% co-payment under CDMP

Up to $300 per patient per year

Patient’s own and spouse’s accounts may be used, provided spouse is also ≥ 60 years old

21

MediSave for outpatient bills

MediSave

MediSave 500/700

Flexi-MediSave

National medical saving

Can help to pay for

Can be used at Specialist

scheme

Can help to pay for personal or immediate family members’ hospitalisation, day surgery, and certain outpatient expenses

outpatient treatment of CDMP conditions and approved vaccinations and screenings

Outpatient Clinics (SOC) in public hospitals and national specialty centres, polyclinics, and participating Community Health Assist Scheme (CHAS) GP clinics

22

23 conditions for outpatient treatment

Diabetes (including pre-diabetes) • Hypertension • Lipid disorders • Stroke • Asthma • Chronic Obstructive Pulmonary Disease (COPD)

Diabetes (including pre-diabetes) • Hypertension • Lipid disorders • Stroke • Asthma • Chronic Obstructive Pulmonary Disease (COPD)

Schizophrenia • Major depression • Bipolar disorder • Dementia • Osteoporosis

Benign Prostatic Hyperplasia (BPH) • Anxiety • Parkinson’s disease • Chronic kidney disease (nephrosis/ nephritis) • Epilepsy • Osteoarthritis • Psoriasis • Rheumatoid arthritis • Ischaemic heart disease • Allergic rhinitis • Chronic hepatitis B • Gout

Patients can tap on CDMP after • Certification by a doctor that they have at least one of the listed chronic conditions • Authorising the use of MediSave through the Medical Claims Authorisation Form

23",https://ch-api.healthhub.sg/api/public/content/57c95e67895840888240d7322f00117c?v=f00ca9b4&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.82347858,
What is gestational diabetes and how is it diagnosed? ,"GDM, gestational diabetes mellitus; IADPSG, International Association of Diabetes and Pregnancy Study Group; OGTT, oral glucose tolerance test *All values in mmol/L.

3

Avoiding HbA1c for screening and diagnosis of diabetes during pregnancy

Glycated haemoglobin (HbA1c) should not be used to screen for or diagnose diabetes during pregnancy. It is not sensitive in detecting postprandial hyperglycaemia and is generally lower during pregnancy because of increased red blood cell turnover. Screening for diabetes during pregnancy with HbA1c has also not been validated locally.

Post-pregnancy

Follow up women with diabetes diagnosed during pregnancy

Usually, plasma glucose reverts to pre-pregnancy levels six weeks after delivery. It is recommended that women whose diabetes was diagnosed during pregnancy and pre-diabetes) be tested with 2-point (fasting and two-hour) 75 g OGTT between 6 to 12 weeks after delivery, to assess glycaemic status using non-pregnancy thresholds.20

(including diabetes, GDM,

Women with diabetes diagnosed during pregnancy who are found to have normal glycaemic status at 6 to 12 weeks after delivery should be regularly screened for diabetes every 1 to 3 years (ideally annually) from then on.1

Women with a history of GDM are about 10 times more likely to develop type 2 diabetes mellitus (T2DM) than women who had a normoglycaemic pregnancy.7 In Singapore, it is estimated that 4 in 10 women with a history of GDM develop T2DM or pre-diabetes within 4 to 6 years from delivery.21,22 Among women with a history of GDM, more frequent follow-up may be insulin during required for factors pregnancy or those with other risk developing diabetes such as non-pregnancy BMI ≥23 kg/m2 or a family history of diabetes.1,22

for those who received",https://www.ace-hta.gov.sg/docs/default-source/acgs/gdm---an-update-on-screening-diagnosis-and-follow-up-(may-2018).pdf,0.861051196,"Gestational diabetes is a type of diabetes that develops during pregnancy. It is characterized by high blood sugar levels that can pose risks to both the mother and the baby. Gestational diabetes is usually diagnosed through screening tests during pregnancy. According to the articles provided, the diagnosis of gestational diabetes involves screening all women at 24 to 28 weeks of gestation using a 3-point 75 g oral glucose tolerance test (OGTT). Additionally, women at increased risk of pre-existing diabetes are recommended to be screened for diabetes during their first trimester using non-pregnancy glucose thresholds. If the results are normal, these women should be re-evaluated for gestational diabetes at 24 to 28 weeks of gestation."
,"APPROPRIATE CARE GUIDE (ACG) www.ace-hta.gov.sg

First published: 28 May 2018 Last updated: 22 August 2022

Gestational diabetes mellitus An update on screening, diagnosis, and follow-up

Key messages

1

During their first trimester, screen for pre-existing diabetes in women at increased risk of it using non-pregnancy glucose thresholds. If results are normal, re-evaluate women for gestational diabetes mellitus (GDM) at 24 to 28 weeks of gestation.

2

At 24 to 28 weeks of gestation, screen all women for GDM using 3-point 75 g oral glucose tolerance test (OGTT) unless they have already been diagnosed with diabetes or pre-diabetes.

3

At 6 to 12 weeks after delivery, reassess glycaemic status in women with diabetes diagnosed during pregnancy using 2-point 75 g OGTT. If results are normal, screen women with a history of diabetes diagnosed during pregnancy for diabetes every 1 to 3 years (ideally annually) from then on.

Managing GDM to improve outcomes

Women with diabetes during pregnancy (defined as glucose including diabetes, GDM, and pre-diabetes) are at increased risk of maternal and neonatal complications (such as pre- eclampsia, macrosomia, and shoulder dystocia) compared to those without diabetes.1 When diabetes is this may represent undiagnosed pre-existing diabetes. GDM is diabetes diagnosed in the second or third trimester. is often underlying ß-cell The pathophysiology dysfunction or resistance worsened by decreased insulin sensitivity during pregnancy.1,2

first

levels higher

identified during pregnancy,

insulin

than normal,",https://www.ace-hta.gov.sg/docs/default-source/acgs/gdm---an-update-on-screening-diagnosis-and-follow-up-(may-2018).pdf,0.860588819,
,"The prevalence of GDM in Eastern and Southeast Asian countries is approximately 1 in 10, which is higher than Western and African countries.3 In Singapore, GDM occurs in around 1 in 4 to 5 pregnant women—a higher prevalence than other countries in the Eastern and Southeast Asian region.3-5 History of GDM is associated with increased lifetime risk of diabetes for both the women and their babies.6-9 Appropriate management of GDM with diet, exercise, or insulin therapy can lower the risk of maternal and neonatal complications by up to 60%.10,11

Academy of Medicine, Singapore

Chapter of Endocrinologists, CPS Chapter of Family Medicine Physicians College of Obstericians and Gynaecologists, Singapore

2

First trimester

Screen for undiagnosed pre-existing diabetes in women at increased risk

Before conception or during the first prenatal visit (first trimester), it is recommended to screen for pre-existing diabetes in women at increased risk of it using non-pregnancy thresholds.1

Women are considered to be at increased risk of pre- existing diabetes if any risk factor is present, such as:

– Pre-pregnancy body mass index (BMI) ≥ 23 kg/m2 – History of GDM (or delivered a baby ≥ 4 kg) – History of polycystic ovary syndrome – History of pre-diabetes – Age ≥ 40 years – Family history of diabetes (first degree relative) – Hypertension

If results are normal, re-evaluate women for GDM at 24 to 28 weeks of gestation.

While all women with diabetes diagnosed during pregnancy timely management (including lifestyle intervention), those with pre-existing diabetes are at higher risk of poor diabetes outcomes than those with GDM. Hence, women with pre-existing diabetes require more stringent measures to reduce their risk of diabetes complications, including tighter glycaemic control and screening for complications (such as eye checks).1,7

(including

GDM)

require",https://www.ace-hta.gov.sg/docs/default-source/acgs/gdm---an-update-on-screening-diagnosis-and-follow-up-(may-2018).pdf,0.850627473,
How to avoid foot infections ?,"Blister, wound, corn, and callus

Redness, swelling, bruise, or increased warmth

Toenail anomaly or change in foot shape

Maintain good foot care and hygiene

Clean feet daily with mild soap and water

Dry thoroughly between each toe

Use a pumice stone or foot file to gently remove hard skin

Avoid cutting nails too short; cut them straight across and file corners

Avoid cutting nails too short; cut them straight across and file corners

Moisturise hard skin areas regularly

Avoid using harsh soap

Apply moisturiser daily but not between each toe

Avoid scratching skin as it may lead to wound or bleeding

51

Home sandals are recommended

Check and remove any stones or sharp objects inside shoes before wearing them

Check and remove any stones or sharp objects inside shoes before wearing them

Apply simple first aid for small wound

Clean small wound with saline before applying antiseptic and covering with a plaster

Clean small wound with saline before applying antiseptic and covering with a plaster

Seek medical help if there is no improvement after two days or if there are signs of infection

Seek medical help if there is no improvement after two days or if there are signs of infection

Seek medical help if wound is not healing well, or worsens



If signs of infection are present, such as redness, swelling, increased pain, pus, fever, or the wound starts to smell, seek medical help as soon as possible

52

BE PROACTIVE

Dental Care

53

Keep your mouth healthy

Brush your teeth and tongue at least twice a day (in the morning and before sleeping) for 2 minutes with fluoride toothpaste

Use a soft-bristled toothbrush; change every 3 months or when bristles spread out

If you wear dentures, clean them after every meal; remove, clean and soak dentures in water before sleeping

45º

Clean in between your teeth with a floss or interdental brush at least once a day",https://ch-api.healthhub.sg/api/public/content/0aa3838b8eeb40e6b34a2340a65fdd03?v=eca50be0&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.865156717,"To avoid foot infections, individuals with diabetes should follow these key steps for proper foot care:

1. Check your feet daily for any red spots, cuts, swelling, blisters, or other abnormalities. Use a mirror or seek assistance to inspect the bottom of your feet thoroughly.
2. Wash your feet daily with mild soap and water, ensuring to dry them carefully, especially between the toes.
3. Moisturize your feet daily to keep the skin soft and smooth, but avoid applying moisturizer between the toes.
4. Regularly inspect and file away hard skin patches on the soles of your feet to prevent ulcers from forming.
5. Keep your toenails trimmed by cutting them straight across and filing the edges, avoiding cutting into the sides to prevent ingrown nails.
6. Always wear comfortable, well-fitting shoes and socks to protect your feet and prevent injuries. Avoid walking barefoot.
7. Maintain good blood circulation to the feet by elevating them when sitting and performing regular toe and ankle exercises.
8. Avoid smoking, as it can harm blood circulation and increase the risk of complications.

By diligently following these foot care practices, individuals with diabetes can reduce the risk of foot infections and related complications."
